DateTime,Junction,Vehicles,ID,,traffic_flow_rate,congestion_level,vehicle_density,current_traffic_light_state,,weather_condition,temperature_celsius,number_of_lanes,road_capacity,pedestrian_count,crowdsourced_congestion_level,public_transport_status,
01/11/15 0:00,1,15,20151101001,,10.13,medium,54.38,red,fog,25.6,5,374,15,high,0,1,
01/11/15 1:00,1,13,20151101011,,23.69,low,93.9,green,snow,21.1,1,192,21,medium,0,0,
01/11/15 2:00,1,10,20151101021,,12.99,medium,66.45,yellow,fog,37.8,6,214,10,medium,0,0,
01/11/15 3:00,1,7,20151101031,,33.47,low,87.88,green,clear,13.3,1,784,45,medium,0,0,
01/11/15 4:00,1,9,20151101041,,52.47,high,87.04,yellow,snow,17.8,3,937,38,high,0,0,
01/11/15 5:00,1,6,20151101051,,34.64,medium,97.49,green,rain,14.7,6,869,3,medium,1,0,
01/11/15 6:00,1,9,20151101061,,33.67,high,48.8,green,clear,25.7,4,716,21,medium,0,0,
01/11/15 7:00,1,8,20151101071,,48.56,low,89.71,red,fog,13.3,4,158,2,medium,1,1,
01/11/15 8:00,1,11,20151101081,,45.94,medium,28.21,yellow,clear,15,5,353,13,low,1,0,
01/11/15 9:00,1,12,20151101091,,14.36,medium,53.9,green,clear,1.5,1,406,6,high,0,0,
01/11/15 10:00,1,15,20151101101,,19.27,high,49.47,red,fog,36,3,486,44,low,0,0,
01/11/15 11:00,1,17,20151101111,,41.45,low,87.96,green,fog,18.7,6,532,47,medium,1,0,
01/11/15 12:00,1,16,20151101121,,47.64,medium,81.18,yellow,fog,10.4,4,628,3,high,1,1,
01/11/15 13:00,1,15,20151101131,,25.43,medium,24.94,green,rain,36.7,3,157,8,medium,1,0,
01/11/15 14:00,1,16,20151101141,,57.84,low,54.21,green,clear,13.2,4,391,25,medium,0,1,
01/11/15 15:00,1,12,20151101151,,57.52,high,92.63,red,clear,15.4,3,143,13,high,0,0,
01/11/15 16:00,1,12,20151101161,,23.92,high,29.1,red,rain,28.7,2,701,4,medium,1,0,
01/11/15 17:00,1,16,20151101171,,18.97,low,49.05,yellow,clear,19.5,5,174,4,medium,1,1,
